symbol,ibkr_session_start,ibkr_session_end,yml_session_start,yml_session_end
QQQ,2000-06-21 09:30:00-04:00,2000-06-21 16:15:00-04:00,2000-06-21 09:30:00-04:00,2000-06-21 16:00:00-04:00
QQQ,2000-06-22 09:30:00-04:00,2000-06-22 16:15:00-04:00,2000-06-22 09:30:00-04:00,2000-06-22 16:00:00-04:00
QQQ,2000-06-23 09:30:00-04:00,2000-06-23 16:15:00-04:00,2000-06-23 09:30:00-04:00,2000-06-23 16:00:00-04:00
QQQ,2000-06-26 09:30:00-04:00,2000-06-26 16:15:00-04:00,2000-06-26 09:30:00-04:00,2000-06-26 16:00:00-04:00
QQQ,2000-06-27 09:30:00-04:00,2000-06-27 16:15:00-04:00,2000-06-27 09:30:00-04:00,2000-06-27 16:00:00-04:00
QQQ,2000-06-28 09:30:00-04:00,2000-06-28 16:15:00-04:00,2000-06-28 09:30:00-04:00,2000-06-28 16:00:00-04:00
QQQ,2000-06-29 09:30:00-04:00,2000-06-29 16:15:00-04:00,2000-06-29 09:30:00-04:00,2000-06-29 16:00:00-04:00
QQQ,2000-06-30 09:30:00-04:00,2000-06-30 16:15:00-04:00,2000-06-30 09:30:00-04:00,2000-06-30 16:00:00-04:00
QQQ,2000-07-03 09:30:00-04:00,2000-07-03 16:15:00-04:00,2000-07-03 09:30:00-04:00,2000-07-03 16:00:00-04:00
QQQ,2000-07-04 09:30:00-04:00,2000-07-04 16:15:00-04:00,,
QQQ,2000-07-05 09:30:00-04:00,2000-07-05 16:15:00-04:00,2000-07-05 09:30:00-04:00,2000-07-05 16:00:00-04:00
QQQ,2000-07-06 09:30:00-04:00,2000-07-06 16:15:00-04:00,2000-07-06 09:30:00-04:00,2000-07-06 16:00:00-04:00
QQQ,2000-07-07 09:30:00-04:00,2000-07-07 16:15:00-04:00,2000-07-07 09:30:00-04:00,2000-07-07 16:00:00-04:00
QQQ,2000-07-10 09:30:00-04:00,2000-07-10 16:15:00-04:00,2000-07-10 09:30:00-04:00,2000-07-10 16:00:00-04:00
QQQ,2000-07-11 09:30:00-04:00,2000-07-11 16:15:00-04:00,2000-07-11 09:30:00-04:00,2000-07-11 16:00:00-04:00
QQQ,2000-07-12 09:30:00-04:00,2000-07-12 16:15:00-04:00,2000-07-12 09:30:00-04:00,2000-07-12 16:00:00-04:00
QQQ,2000-07-13 09:30:00-04:00,2000-07-13 16:15:00-04:00,2000-07-13 09:30:00-04:00,2000-07-13 16:00:00-04:00
QQQ,2000-07-14 09:30:00-04:00,2000-07-14 16:15:00-04:00,2000-07-14 09:30:00-04:00,2000-07-14 16:00:00-04:00
QQQ,2000-07-17 09:30:00-04:00,2000-07-17 16:15:00-04:00,2000-07-17 09:30:00-04:00,2000-07-17 16:00:00-04:00
QQQ,2000-07-18 09:30:00-04:00,2000-07-18 16:15:00-04:00,2000-07-18 09:30:00-04:00,2000-07-18 16:00:00-04:00
QQQ,2000-07-19 09:30:00-04:00,2000-07-19 16:15:00-04:00,2000-07-19 09:30:00-04:00,2000-07-19 16:00:00-04:00
QQQ,2000-07-20 09:30:00-04:00,2000-07-20 16:15:00-04:00,2000-07-20 09:30:00-04:00,2000-07-20 16:00:00-04:00
QQQ,2000-07-21 09:30:00-04:00,2000-07-21 16:15:00-04:00,2000-07-21 09:30:00-04:00,2000-07-21 16:00:00-04:00
QQQ,2000-07-24 09:30:00-04:00,2000-07-24 16:15:00-04:00,2000-07-24 09:30:00-04:00,2000-07-24 16:00:00-04:00
QQQ,2000-07-25 09:30:00-04:00,2000-07-25 16:15:00-04:00,2000-07-25 09:30:00-04:00,2000-07-25 16:00:00-04:00
QQQ,2000-07-26 09:30:00-04:00,2000-07-26 16:15:00-04:00,2000-07-26 09:30:00-04:00,2000-07-26 16:00:00-04:00
QQQ,2000-07-27 09:30:00-04:00,2000-07-27 16:15:00-04:00,2000-07-27 09:30:00-04:00,2000-07-27 16:00:00-04:00
QQQ,2000-07-28 09:30:00-04:00,2000-07-28 16:15:00-04:00,2000-07-28 09:30:00-04:00,2000-07-28 16:00:00-04:00
QQQ,2000-07-31 09:30:00-04:00,2000-07-31 16:15:00-04:00,2000-07-31 09:30:00-04:00,2000-07-31 16:00:00-04:00
QQQ,2000-08-01 09:30:00-04:00,2000-08-01 16:15:00-04:00,2000-08-01 09:30:00-04:00,2000-08-01 16:00:00-04:00
QQQ,2000-08-02 09:30:00-04:00,2000-08-02 16:15:00-04:00,2000-08-02 09:30:00-04:00,2000-08-02 16:00:00-04:00
QQQ,2000-08-03 09:30:00-04:00,2000-08-03 16:15:00-04:00,2000-08-03 09:30:00-04:00,2000-08-03 16:00:00-04:00
QQQ,2000-08-04 09:30:00-04:00,2000-08-04 16:15:00-04:00,2000-08-04 09:30:00-04:00,2000-08-04 16:00:00-04:00
QQQ,2000-08-07 09:30:00-04:00,2000-08-07 16:15:00-04:00,2000-08-07 09:30:00-04:00,2000-08-07 16:00:00-04:00
QQQ,2000-08-08 09:30:00-04:00,2000-08-08 16:15:00-04:00,2000-08-08 09:30:00-04:00,2000-08-08 16:00:00-04:00
QQQ,2000-08-09 09:30:00-04:00,2000-08-09 16:15:00-04:00,2000-08-09 09:30:00-04:00,2000-08-09 16:00:00-04:00
QQQ,2000-08-10 09:30:00-04:00,2000-08-10 16:15:00-04:00,2000-08-10 09:30:00-04:00,2000-08-10 16:00:00-04:00
QQQ,2000-08-11 09:30:00-04:00,2000-08-11 16:15:00-04:00,2000-08-11 09:30:00-04:00,2000-08-11 16:00:00-04:00
QQQ,2000-08-14 09:30:00-04:00,2000-08-14 16:15:00-04:00,2000-08-14 09:30:00-04:00,2000-08-14 16:00:00-04:00
QQQ,2000-08-15 09:30:00-04:00,2000-08-15 16:15:00-04:00,2000-08-15 09:30:00-04:00,2000-08-15 16:00:00-04:00
QQQ,2000-08-16 09:30:00-04:00,2000-08-16 16:15:00-04:00,2000-08-16 09:30:00-04:00,2000-08-16 16:00:00-04:00
QQQ,2000-08-17 09:30:00-04:00,2000-08-17 16:15:00-04:00,2000-08-17 09:30:00-04:00,2000-08-17 16:00:00-04:00
QQQ,2000-08-18 09:30:00-04:00,2000-08-18 16:15:00-04:00,2000-08-18 09:30:00-04:00,2000-08-18 16:00:00-04:00
QQQ,2000-08-21 09:30:00-04:00,2000-08-21 16:15:00-04:00,2000-08-21 09:30:00-04:00,2000-08-21 16:00:00-04:00
QQQ,2000-08-22 09:30:00-04:00,2000-08-22 16:15:00-04:00,2000-08-22 09:30:00-04:00,2000-08-22 16:00:00-04:00
QQQ,2000-08-23 09:30:00-04:00,2000-08-23 16:15:00-04:00,2000-08-23 09:30:00-04:00,2000-08-23 16:00:00-04:00
QQQ,2000-08-24 09:30:00-04:00,2000-08-24 16:15:00-04:00,2000-08-24 09:30:00-04:00,2000-08-24 16:00:00-04:00
QQQ,2000-08-25 09:30:00-04:00,2000-08-25 16:15:00-04:00,2000-08-25 09:30:00-04:00,2000-08-25 16:00:00-04:00
QQQ,2000-08-28 09:30:00-04:00,2000-08-28 16:15:00-04:00,2000-08-28 09:30:00-04:00,2000-08-28 16:00:00-04:00
QQQ,2000-08-29 09:30:00-04:00,2000-08-29 16:15:00-04:00,2000-08-29 09:30:00-04:00,2000-08-29 16:00:00-04:00
QQQ,2000-08-30 09:30:00-04:00,2000-08-30 16:15:00-04:00,2000-08-30 09:30:00-04:00,2000-08-30 16:00:00-04:00
QQQ,2000-08-31 09:30:00-04:00,2000-08-31 16:15:00-04:00,2000-08-31 09:30:00-04:00,2000-08-31 16:00:00-04:00
QQQ,2000-09-01 09:30:00-04:00,2000-09-01 16:15:00-04:00,2000-09-01 09:30:00-04:00,2000-09-01 16:00:00-04:00
QQQ,2000-09-04 09:30:00-04:00,2000-09-04 16:15:00-04:00,2000-09-04 09:30:00-04:00,2000-09-04 16:00:00-04:00
QQQ,2000-09-05 09:30:00-04:00,2000-09-05 16:15:00-04:00,2000-09-05 09:30:00-04:00,2000-09-05 16:00:00-04:00
QQQ,2000-09-06 09:30:00-04:00,2000-09-06 16:15:00-04:00,2000-09-06 09:30:00-04:00,2000-09-06 16:00:00-04:00
QQQ,2000-09-07 09:30:00-04:00,2000-09-07 16:15:00-04:00,2000-09-07 09:30:00-04:00,2000-09-07 16:00:00-04:00
QQQ,2000-09-08 09:30:00-04:00,2000-09-08 16:15:00-04:00,2000-09-08 09:30:00-04:00,2000-09-08 16:00:00-04:00
QQQ,2000-09-11 09:30:00-04:00,2000-09-11 16:15:00-04:00,2000-09-11 09:30:00-04:00,2000-09-11 16:00:00-04:00
QQQ,2000-09-12 09:30:00-04:00,2000-09-12 16:15:00-04:00,2000-09-12 09:30:00-04:00,2000-09-12 16:00:00-04:00
QQQ,2000-09-13 09:30:00-04:00,2000-09-13 16:15:00-04:00,2000-09-13 09:30:00-04:00,2000-09-13 16:00:00-04:00
QQQ,2000-09-14 09:30:00-04:00,2000-09-14 16:15:00-04:00,2000-09-14 09:30:00-04:00,2000-09-14 16:00:00-04:00
QQQ,2000-09-15 09:30:00-04:00,2000-09-15 16:15:00-04:00,2000-09-15 09:30:00-04:00,2000-09-15 16:00:00-04:00
QQQ,2000-09-18 09:30:00-04:00,2000-09-18 16:15:00-04:00,2000-09-18 09:30:00-04:00,2000-09-18 16:00:00-04:00
QQQ,2000-09-19 09:30:00-04:00,2000-09-19 16:15:00-04:00,2000-09-19 09:30:00-04:00,2000-09-19 16:00:00-04:00
QQQ,2000-09-20 09:30:00-04:00,2000-09-20 16:15:00-04:00,2000-09-20 09:30:00-04:00,2000-09-20 16:00:00-04:00
QQQ,2000-09-21 09:30:00-04:00,2000-09-21 16:15:00-04:00,2000-09-21 09:30:00-04:00,2000-09-21 16:00:00-04:00
QQQ,2000-09-22 09:30:00-04:00,2000-09-22 16:15:00-04:00,2000-09-22 09:30:00-04:00,2000-09-22 16:00:00-04:00
QQQ,2000-09-25 09:30:00-04:00,2000-09-25 16:15:00-04:00,2000-09-25 09:30:00-04:00,2000-09-25 16:00:00-04:00
QQQ,2000-09-26 09:30:00-04:00,2000-09-26 16:15:00-04:00,2000-09-26 09:30:00-04:00,2000-09-26 16:00:00-04:00
QQQ,2000-09-27 09:30:00-04:00,2000-09-27 16:15:00-04:00,2000-09-27 09:30:00-04:00,2000-09-27 16:00:00-04:00
